channel,coach,video_id,title,duration_min,views,in_catalog,transcribed,tagged,used_in_kb,difficulty,tags,champion_focus,summary,url
JungleGapGG,JungleGapGG,4APtz4zDbGo,The ULTIMATE (In-Depth) Jungle Guide For PERFECT Fundamentals,43,,yes,yes,,yes,,,general,,https://www.youtube.com/watch?v=4APtz4zDbGo
JungleGapGG,JungleGapGG,GBKVIehiRKA,Why 'Losers Q' Mentality Keeps You Hardstuck In League of Legends,5,,yes,yes,,yes,,,general,,https://www.youtube.com/watch?v=GBKVIehiRKA
JungleGapGG,,ZSLAxbEveM0,1 Year of Jungle Coaching in 1hr 26mins | Complete Fundamentals Guide,87,,,,,,,,,,https://www.youtube.com/watch?v=ZSLAxbEveM0
JungleGapGG,,i3zGGt4_rs4,14.10 JUNGLE TIER LIST & INITIAL THOUGHTS,26,,,,,,,,,,https://www.youtube.com/watch?v=i3zGGt4_rs4
JungleGapGG,,-5yy1Rrbub8,14.14 JUNGLE TIER LIST | WHAT DO WE PLAY NOW???,20,,,,,,,,,,https://www.youtube.com/watch?v=-5yy1Rrbub8
JungleGapGG,,6H9h3BRJsV0,3 Minute Guide To Abuse The Most BROKEN Jungler On Patch 25.16,33,,,,,,,,,,https://www.youtube.com/watch?v=6H9h3BRJsV0
JungleGapGG,,cqo8ZJjR9no,3 Must Know Early Game Fundamentals To ESCAPE Low Elo As Jungle,15,,,,,,,,,,https://www.youtube.com/watch?v=cqo8ZJjR9no
JungleGapGG,,cRoLLHb0bro,5 Must Know Pathing Rules Explained In 20 Minutes - Learn How To Jungle In 2026,20,,,,,,,,,,https://www.youtube.com/watch?v=cRoLLHb0bro
JungleGapGG,,u2AoXHhMtg8,5 Simple Rules To INSTANTLY Jungle Like A Pro (Will Apply In Season 16),37,,,,,,,,,,https://www.youtube.com/watch?v=u2AoXHhMtg8
JungleGapGG,,Q9gaxegb0c0,70% Winrate Challenger Xin Zhao shares tips and tricks during this Coaching Session,8,,,,,,,,,,https://www.youtube.com/watch?v=Q9gaxegb0c0
JungleGapGG,,Gmi-AVRdOrc,90 Minutes Of Competitive Jungle Coaching (from a former worlds player),88,,,,,,,,,,https://www.youtube.com/watch?v=Gmi-AVRdOrc
JungleGapGG,,XQ7uDJz_t4s,90% of Junglers FAIL To Snowball Their Leads Because Of THIS!,23,,,,,,,,,,https://www.youtube.com/watch?v=XQ7uDJz_t4s
JungleGapGG,,0LzUY2ebab8,95% of Junglers Below DIAMOND Make This Mistake In S16 (stopping them from climbing),25,,,,,,,,,,https://www.youtube.com/watch?v=0LzUY2ebab8
JungleGapGG,,5BEkAK1NNCY,A Challenger Junglers COMPLETE Step by Step Fundamentals Guide (for any skill level),57,,,,,,,,,,https://www.youtube.com/watch?v=5BEkAK1NNCY
JungleGapGG,,haRX_AsC8K0,All Time BEST Junglers To Main In Each Rank - (No Matter The Season/Meta),29,,,,,,,,,,https://www.youtube.com/watch?v=haRX_AsC8K0
JungleGapGG,,yZNWTX9Ai3s,Amumu Is FREE LP In S16 - Jungle Coaching To Climb Out Of Low Elo,39,,,,,,,,,,https://www.youtube.com/watch?v=yZNWTX9Ai3s
JungleGapGG,,_FPcvXW6leY,Become a CONSISTENT Jungler in the EARLY GAME! | Gold 3 Coaching,23,,,,,,,,,,https://www.youtube.com/watch?v=_FPcvXW6leY
JungleGapGG,,jk4kZ4BXGvs,"Beginner Khazix Tips, Tricks And Structured Pathing Fundamentals Guide | Season 14 Coaching",16,,,,,,,,,,https://www.youtube.com/watch?v=jk4kZ4BXGvs
JungleGapGG,,kE4qWjXaN24,CAN TEAM DANTES BE HELPED? | MY ANALYSIS & THOUGHTS,58,,,,,,,,,,https://www.youtube.com/watch?v=kE4qWjXaN24
JungleGapGG,,88U-ULuh17k,Can You THINK Like A High Elo Jungler? (Test Your Skill) | League of Legends,31,,,,,,,,,,https://www.youtube.com/watch?v=88U-ULuh17k
JungleGapGG,,GlrZwM_H8YI,CARRY GAMES WITH MACRO | CHALLENGER JUNGLE CO-PILOT IN LOW ELO,57,,,,,,,,,,https://www.youtube.com/watch?v=GlrZwM_H8YI
JungleGapGG,,mwucQYd-B3M,Challenger Coach Explains Jungle Fundamentals & Thought Process During This Review,24,,,,,,,,,,https://www.youtube.com/watch?v=mwucQYd-B3M
JungleGapGG,,7CD5jZjsrSQ,Challenger Jungle Fundamentals Like You've NEVER Seen Before (how to carry hard games),30,,,,,,,,,,https://www.youtube.com/watch?v=7CD5jZjsrSQ
JungleGapGG,,HIxJ80ctPKA,Challenger Jungler DESTROYS Students 'Elo Hell' Narrative | Educational Live Coaching,42,,,,,,,,,,https://www.youtube.com/watch?v=HIxJ80ctPKA
JungleGapGG,,HO5RJXJAp6k,Challenger Jungler Disproves Students 'Low Elo Narrative' - LoL Coaching,67,,,,,,,,,,https://www.youtube.com/watch?v=HO5RJXJAp6k
JungleGapGG,,x2a3FJ93zpE,Challenger Jungler Explains How To Win 'Unwinnable' Games Using Fundamentals & Correct Mindset,40,,,,,,,,,,https://www.youtube.com/watch?v=x2a3FJ93zpE
JungleGapGG,,Vs6zOrBE624,Challenger Jungler Makes EMERALD Look EASY | Fundamentals EXPLAINED,29,,,,,,,,,,https://www.youtube.com/watch?v=Vs6zOrBE624
JungleGapGG,,4UUafldEkc4,Challenger Jungler Proves Mentality + Fundamentals = Carry Any Game,35,,,,,,,,,,https://www.youtube.com/watch?v=4UUafldEkc4
JungleGapGG,,W20p3LeYYKI,Climbing As JUNGLE Is Easier Than You Think - Educational Gameplay Guide,22,,,,,,,,,,https://www.youtube.com/watch?v=W20p3LeYYKI
JungleGapGG,,KIujS9qLzJs,Coach Explains Decision Making Fundamentals to Plat 4 Kayn.. **He Gets Unleashed**,37,,,,,,,,,,https://www.youtube.com/watch?v=KIujS9qLzJs
JungleGapGG,,R4o7356bbsQ,Coaching Diamond 3 Jungler | Instant Improvement After Applying Fundamentals,36,,,,,,,,,,https://www.youtube.com/watch?v=R4o7356bbsQ
JungleGapGG,,BYs4Gcqtv1w,COMBINING OP CHAMP + FUNDAMENTALS = CARRYING 4V5,30,,,,,,,,,,https://www.youtube.com/watch?v=BYs4Gcqtv1w
JungleGapGG,,cKtJXb4d-bQ,Common LOW ELO Mistakes VS CHALLENGER Macro,52,,,,,,,,,,https://www.youtube.com/watch?v=cKtJXb4d-bQ
JungleGapGG,,fR6a6epknwc,COMPETITIVE VOD REVIEW COACHING SESSION **HE GETS FLAMED 😂**,69,,,,,,,,,,https://www.youtube.com/watch?v=fR6a6epknwc
JungleGapGG,,tPIJ39lfWeU,Complete Season 14 Jungle Fundamentals Guide & How to Apply Them,36,,,,,,,,,,https://www.youtube.com/watch?v=tPIJ39lfWeU
JungleGapGG,,i_JkQe6gE4E,Consistency is KEY | Low Elo Jungle Coaching (full review),27,,,,,,,,,,https://www.youtube.com/watch?v=i_JkQe6gE4E
JungleGapGG,,AKlvK8kG1vA,Core Pathing Concepts To GAP Low Elo Enemy Junglers EVERY GAME - Challenger Coaching,30,,,,,,,,,,https://www.youtube.com/watch?v=AKlvK8kG1vA
JungleGapGG,,fgVXBJD3hSs,D3 Player realizes how OP Fundamentals are during this Coaching Session...,13,,,,,,,,,,https://www.youtube.com/watch?v=fgVXBJD3hSs
JungleGapGG,,zhECZHTQIdA,DIAMOND 1 JUNGLER FINDS OUT EASIEST WAY TO CLIMB IN SPLIT 2,31,,,,,,,,,,https://www.youtube.com/watch?v=zhECZHTQIdA
JungleGapGG,,BRR3UPjVBL8,Diamond 3 vs Challenger Thought Process | In-Depth Jungle Coaching & Analysis,26,,,,,,,,,,https://www.youtube.com/watch?v=BRR3UPjVBL8
JungleGapGG,,LScpWmfcgRc,Diamond Jungler MIND BLOWN after learning how MAXIMIZE his farm | Full Game Review,36,,,,,,,,,,https://www.youtube.com/watch?v=LScpWmfcgRc
JungleGapGG,,f_e6S6X1C5Y,"Do The Fundamentals I Teach WORK In High Elo? (spoiler alert, they do)",29,,,,,,,,,,https://www.youtube.com/watch?v=f_e6S6X1C5Y
JungleGapGG,,-IWHBvXBcfo,Early Game Planning & When to FARM or GROUP in the Mid Game | S14 Jungle Coaching |,23,,,,,,,,,,https://www.youtube.com/watch?v=-IWHBvXBcfo
JungleGapGG,,ybq7IH6Ipvw,Easily the most common MISTAKES made in LOW ELO & how to fix them | S14 Challenger Coaching,54,,,,,,,,,,https://www.youtube.com/watch?v=ybq7IH6Ipvw
JungleGapGG,,SidnX6_flW4,Educational Gold To Masters In 10 Hrs - Gank/Invade Style Junglers,575,,,,,,,,,,https://www.youtube.com/watch?v=SidnX6_flW4
JungleGapGG,,84ZhCmMwDNA,Educational Low Elo Jungle Coaching | Learn Fundamentals & How To Impact Your Games,45,,,,,,,,,,https://www.youtube.com/watch?v=84ZhCmMwDNA
JungleGapGG,,h9eOc8OSVFI,Educational Rank 1 Jungle Showdown — Velja vs NattyNatt (In-Depth Breakdown),53,,,,,,,,,,https://www.youtube.com/watch?v=h9eOc8OSVFI
JungleGapGG,,Xu-QaJ8lddQ,Educational Unranked To Masters - Highest Pick Rate Junglers,1068,,,,,,,,,,https://www.youtube.com/watch?v=Xu-QaJ8lddQ
JungleGapGG,,WHs-u-Tb9EM,Educational Unranked To Masters In 17 Hrs - Farm Style Junglers,1041,,,,,,,,,,https://www.youtube.com/watch?v=WHs-u-Tb9EM
JungleGapGG,,T_RSpimxmfk,Emerald Jungle Coaching | The DECISIONS holding you back from CLIMBING (full session),33,,,,,,,,,,https://www.youtube.com/watch?v=T_RSpimxmfk
JungleGapGG,,E7v9Q_tVUVE,Emerald Jungler Learns KEY Fundamentals To DRASTICALLY Improve Early Game,55,,,,,,,,,,https://www.youtube.com/watch?v=E7v9Q_tVUVE
JungleGapGG,,36mGKMq8W3A,EMERALD player learns what it takes to reach MASTER TIER | S14 Jungle Coaching,31,,,,,,,,,,https://www.youtube.com/watch?v=36mGKMq8W3A
JungleGapGG,,jPycBu6hsdg,EMERALD STUDENT LEARNS WHY THIS SKILL IS SO IMPORTANT...,26,,,,,,,,,,https://www.youtube.com/watch?v=jPycBu6hsdg
JungleGapGG,,cM7IUGdlh1o,Every Jungler SHOULD Know These Fundamentals (Most Dont) - Challenger Breakdown,52,,,,,,,,,,https://www.youtube.com/watch?v=cM7IUGdlh1o
JungleGapGG,,HHpjM7OPHyg,Ex Pro Shares 10 Years of Mentality Advice in 5 Minutes to Climb in SoloQ,6,,,,,,,,,,https://www.youtube.com/watch?v=HHpjM7OPHyg
JungleGapGG,,-tkc4mGDmlY,EX WORLDS PLAYER REVIEWS LOS RATONES SCRIMS... *EDUCATIONAL*,35,,,,,,,,,,https://www.youtube.com/watch?v=-tkc4mGDmlY
JungleGapGG,,C8TwwGBc6cY,EXPLAINING EVERY KEY FUNDAMENTAL + PLAYING MOST BROKEN JUNGLER,24,,,,,,,,,,https://www.youtube.com/watch?v=C8TwwGBc6cY
JungleGapGG,,jB_gkaPdr9U,"Farming Junglers Are BROKEN, You Are Just Playing Them WRONG",35,,,,,,,,,,https://www.youtube.com/watch?v=jB_gkaPdr9U
JungleGapGG,,932pXUnPGPA,From HARDSTUCK To CHALLENGER - What Changed?,4,,,,,,,,,,https://www.youtube.com/watch?v=932pXUnPGPA
JungleGapGG,,7INR8Gl5Fvw,FULL CLEAR FUNDAMENTALS | How To PUNISH The Enemy Jungler,17,,,,,,,,,,https://www.youtube.com/watch?v=7INR8Gl5Fvw
JungleGapGG,,QUE3RP5bPX0,Fundamentals To Climb To DIAMOND | Jungle Coaching (full session),55,,,,,,,,,,https://www.youtube.com/watch?v=QUE3RP5bPX0
JungleGapGG,,QJQrq8cr-vo,Fundamentals to TRULY 1v9 on Carry Junglers | Challenger Breakdown,45,,,,,,,,,,https://www.youtube.com/watch?v=QJQrq8cr-vo
JungleGapGG,,ATLfSUPQnus,Game Defining Opportunities 90% of Jungler's Below Diamond Don't See (Full Review),25,,,,,,,,,,https://www.youtube.com/watch?v=ATLfSUPQnus
JungleGapGG,,3jOURGjldOM,Give Me 40 Minutes To Make You INSANE At Jungle - Diamond Jungle Coaching,41,,,,,,,,,,https://www.youtube.com/watch?v=3jOURGjldOM
JungleGapGG,,Gtpzc4hm54U,Give Me 90 Minutes To Evolve Your Jungling - Diamond Jungle Coaching,80,,,,,,,,,,https://www.youtube.com/watch?v=Gtpzc4hm54U
JungleGapGG,,7BhW56XkBc0,GOLD 1 BRAND COACHING FULL SESSION **HOW TO CARRY IN LOW ELO**,92,,,,,,,,,,https://www.youtube.com/watch?v=7BhW56XkBc0
JungleGapGG,,yWIn1-Qbj_8,GRANDMASTER Jungler learns what it takes to reach CHALLENGER | Coaching @Tinjus,49,,,,,,,,,,https://www.youtube.com/watch?v=yWIn1-Qbj_8
JungleGapGG,,c9J_mB0VTAo,HARDSTUCK D1 Jungler INSTANTLY reaches MASTER TIER after this coaching session,19,,,,,,,,,,https://www.youtube.com/watch?v=c9J_mB0VTAo
JungleGapGG,,uw5nRnNnD-o,Hardstuck D4 student says he has 'hit a wall' the fix was easy.,47,,,,,,,,,,https://www.youtube.com/watch?v=uw5nRnNnD-o
JungleGapGG,,urq5K-LsSNk,Hardstuck Iron Jungler Learns The Mentality Needed To Overcome SoloQ Frustrations,13,,,,,,,,,,https://www.youtube.com/watch?v=urq5K-LsSNk
JungleGapGG,,HyUHHy2v6PI,HES RECLAIMING RANK 1 KR — How The BEST Hecarim In The World STOMPS SoloQ,32,,,,,,,,,,https://www.youtube.com/watch?v=HyUHHy2v6PI
JungleGapGG,,Bw1bGdSVQ0Y,High Elo Jungler LOSING HIS MIND | What's The Solution?,21,,,,,,,,,,https://www.youtube.com/watch?v=Bw1bGdSVQ0Y
JungleGapGG,,oPbf2ZEKDQo,High Elo Players Get Humiliated During This Group VOD Review...**Learning Experience 😂**,44,,,,,,,,,,https://www.youtube.com/watch?v=oPbf2ZEKDQo
JungleGapGG,,egh2YEt4EP0,High Elo Student Learns How to Close out Games after an Early Snowball,40,,,,,,,,,,https://www.youtube.com/watch?v=egh2YEt4EP0
JungleGapGG,,1vop3llHcWE,HIS POWER GROWS EVERY PATCH | HOW TO ABUSE WARWICK FOR FREELO,27,,,,,,,,,,https://www.youtube.com/watch?v=1vop3llHcWE
JungleGapGG,,ShE_50p58xE,How 'invisible' Tilt keeps you from Climbing | S15 Jungle Coaching,25,,,,,,,,,,https://www.youtube.com/watch?v=ShE_50p58xE
JungleGapGG,,-_QaOXEA_1M,How A Challenger Jungler Carries 3 LOSING LANES & Wins In 23mins,24,,,,,,,,,,https://www.youtube.com/watch?v=-_QaOXEA_1M
JungleGapGG,,69lopWZDlds,How a Challenger Jungler Carries INTERS using Fundamentals in S15,31,,,,,,,,,,https://www.youtube.com/watch?v=69lopWZDlds
JungleGapGG,,x_rWXtyyN5E,How a CHALLENGER Jungler Ends Games in 15 Minutes | Thought Process EXPLAINED,39,,,,,,,,,,https://www.youtube.com/watch?v=x_rWXtyyN5E
JungleGapGG,,Taa0yN1WzTc,How a CHALLENGER Jungler Ends Games in 20 Minutes | Thought Process EXPLAINED,35,,,,,,,,,,https://www.youtube.com/watch?v=Taa0yN1WzTc
JungleGapGG,,muZ7idxDTGw,How A Challenger Jungler THINKS & Fundamentals You Can Learn To CLIMB,19,,,,,,,,,,https://www.youtube.com/watch?v=muZ7idxDTGw
JungleGapGG,,3WHsJguaHN0,How a Challenger Jungler wins the games you call 'unwinnable',21,,,,,,,,,,https://www.youtube.com/watch?v=3WHsJguaHN0
JungleGapGG,,RuPBsJmlfbg,How a CHALLENGER Jungler WINS with LOSING LANES | Mentality & Fundamentals EXPLAINED,32,,,,,,,,,,https://www.youtube.com/watch?v=RuPBsJmlfbg
JungleGapGG,,01EY1GQS1cg,How I 1v9 High Elo Lobbies With LOSING LANES -  Educational Gameplay Guide,28,,,,,,,,,,https://www.youtube.com/watch?v=01EY1GQS1cg
JungleGapGG,,FbvNNe08obQ,How I STOMP Challenger Games With NIDALEE 😼 (Educational),19,,,,,,,,,,https://www.youtube.com/watch?v=FbvNNe08obQ
JungleGapGG,,knFXeFNmH3Q,How I STOMP High Elo Lobbies (Playing From Behind) - Educational Commentary,27,,,,,,,,,,https://www.youtube.com/watch?v=knFXeFNmH3Q
JungleGapGG,,v6D1wqmWpyo,How I Would Climb To Masters As Jungle (If I Had To Start Over),32,,,,,,,,,,https://www.youtube.com/watch?v=v6D1wqmWpyo
JungleGapGG,,nuZTOAgz6e0,How To ACTUALLY Start Carrying Games As Jungle | In-Depth Fundamentals Breakdown,50,,,,,,,,,,https://www.youtube.com/watch?v=nuZTOAgz6e0
JungleGapGG,,qkkximc7YEw,How To AVOID The Most Common Jungle Mistakes | Challenger Coaching,76,,,,,,,,,,https://www.youtube.com/watch?v=qkkximc7YEw
JungleGapGG,,QXofyY4lfWo,How To Carry ANY Game As Jungle With Clean Fundamentals | Challenger Thought Process,20,,,,,,,,,,https://www.youtube.com/watch?v=QXofyY4lfWo
JungleGapGG,,nWaWLXZd5bs,How To Carry ANY Game Using FUNDAMENTALS | Thought Process & Mindset Explained,53,,,,,,,,,,https://www.youtube.com/watch?v=nWaWLXZd5bs
JungleGapGG,,6BGSh5Lk3Zc,How To Carry EVERY Game Using PERFECT Jungle Fundamentals | Challenger Thought Process,40,,,,,,,,,,https://www.youtube.com/watch?v=6BGSh5Lk3Zc
JungleGapGG,,eQVaOvTARso,How to CARRY with EARLY GAME Junglers | Challenger Thought Process & In-Depth Review,56,,,,,,,,,,https://www.youtube.com/watch?v=eQVaOvTARso
JungleGapGG,,8hyDqAzMK14,How To CLIMB As Jungle With ONE Key Fundamental - Gameplay Guide LoL,35,,,,,,,,,,https://www.youtube.com/watch?v=8hyDqAzMK14
JungleGapGG,,sOcXtq3ZN9E,How To Close Out & Play Mid Game Correctly | S16 Jungle Coaching,15,,,,,,,,,,https://www.youtube.com/watch?v=sOcXtq3ZN9E
JungleGapGG,,GAGNyb5EB3E,How To COMPLETELY Gap Low Elo Enemy Junglers | Challenger Coaching,19,,,,,,,,,,https://www.youtube.com/watch?v=GAGNyb5EB3E
JungleGapGG,,TLGAsXxTmkw,How To COMPLETELY Gap The Enemy Jungler In Season 16 | Fundamentals Explained,51,,,,,,,,,,https://www.youtube.com/watch?v=TLGAsXxTmkw
JungleGapGG,,11ddVlCblTE,How To COUNTER this Popular Jungle Path (leads to an insane snowball),25,,,,,,,,,,https://www.youtube.com/watch?v=11ddVlCblTE
JungleGapGG,,zziK5rQefTc,How To DOMINATE Your First Clear EVERY GAME - Complete Jungle Guide - League of Legends,25,,,,,,,,,,https://www.youtube.com/watch?v=zziK5rQefTc
JungleGapGG,,iCIj0KCRfK0,How To Gap The Enemy Jungler & Use Your Lead To CARRY (Educational),13,,,,,,,,,,https://www.youtube.com/watch?v=iCIj0KCRfK0
JungleGapGG,,sDrKr85LMvU,How To HARD CARRY As Jungle With PERFECT Fundamentals In S16,22,,,,,,,,,,https://www.youtube.com/watch?v=sDrKr85LMvU
JungleGapGG,,YhAEl8jX48w,How To IMPROVE At Jungle (instead of blaming the algorithm) - Complete Tutorial,28,,,,,,,,,,https://www.youtube.com/watch?v=YhAEl8jX48w
JungleGapGG,,e8mDDPj4DjQ,How To MAXIMIZE Farming Junglers To Climb SoloQ - Educational Gameplay Guide,25,,,,,,,,,,https://www.youtube.com/watch?v=e8mDDPj4DjQ
JungleGapGG,,hHR_LhpAn_M,How to play FARMING Junglers with PERFECT Fundamentals | Challenger Thought Process EXPLAINED,42,,,,,,,,,,https://www.youtube.com/watch?v=hHR_LhpAn_M
JungleGapGG,,9OQgWq62GXA,How To Play FAST PACED Junglers & Hard Carry In SoloQ — Challenger Gameplay Guide,16,,,,,,,,,,https://www.youtube.com/watch?v=9OQgWq62GXA
JungleGapGG,,kC9KItmVsXY,How To Play Jungle With SCALING Lanes & The Correct Mentality You Need To Win | Season 14 Coaching,27,,,,,,,,,,https://www.youtube.com/watch?v=kC9KItmVsXY
JungleGapGG,,SEcmNRBNTz4,How To Play Like The BEST Jungler In The World — Fundamentals Guide,31,,,,,,,,,,https://www.youtube.com/watch?v=SEcmNRBNTz4
JungleGapGG,,2LExtP-ROkw,How To Play NEW Shyvana Jungle - Educational Guide & Commentary,16,,,,,,,,,,https://www.youtube.com/watch?v=2LExtP-ROkw
JungleGapGG,,dWfwiHzxH98,How To Play Utility Junglers & Win Through Bot | S15 Challenger Fundamentals,17,,,,,,,,,,https://www.youtube.com/watch?v=dWfwiHzxH98
JungleGapGG,,NHR-0ie04O0,How To Prevent & Counter EVERY Early Jungle Invade (Complete Guide),27,,,,,,,,,,https://www.youtube.com/watch?v=NHR-0ie04O0
JungleGapGG,,qABRwRnsCdE,How To Prevent being INVADED Early & Is The 'OP Raptor Path' Still OP?,12,,,,,,,,,,https://www.youtube.com/watch?v=qABRwRnsCdE
JungleGapGG,,jGug0qKXfdw,HOW TO TAKE UDYR TO THE NEXT LEVEL | Emerald 1 Coaching,60,,,,,,,,,,https://www.youtube.com/watch?v=jGug0qKXfdw
JungleGapGG,,bqNVtVRsaYM,How to TRANSLATE early leads into WINS | Diamond Jungle Coaching (Full Review),42,,,,,,,,,,https://www.youtube.com/watch?v=bqNVtVRsaYM
JungleGapGG,,YYIpC9KMIrY,How To Translate Your Lead As Jungle & ACTUALLY Carry | Complete Fundamental Breakdown,24,,,,,,,,,,https://www.youtube.com/watch?v=YYIpC9KMIrY
JungleGapGG,,Sw7jRcK5Lmw,How to use TEMPO to completely GAP the enemy Jungler & 1v9 any game | Season 14 Coaching,29,,,,,,,,,,https://www.youtube.com/watch?v=Sw7jRcK5Lmw
JungleGapGG,,ouIDpkXv5A4,How to use your TRINKET WARDS early game like a CHALLENGER Jungler | S14 Coaching,3,,,,,,,,,,https://www.youtube.com/watch?v=ouIDpkXv5A4
JungleGapGG,,OvGvcr0G9NA,I Gave My PLAT Student Challenger Macro — This Was The Result,36,,,,,,,,,,https://www.youtube.com/watch?v=OvGvcr0G9NA
JungleGapGG,,H9RQrtv05vE,"I gave my student Challenger Jungle Macro for one game, this was the result...",22,,,,,,,,,,https://www.youtube.com/watch?v=H9RQrtv05vE
JungleGapGG,,cdDvCTAerHY,I Thought This Champion Would SUCK Jungle (might actually be new elo hack),11,,,,,,,,,,https://www.youtube.com/watch?v=cdDvCTAerHY
JungleGapGG,,MTrcNBH7ckA,Improving At Jungle Is EASIER Than You Think - Challenger Commentary,28,,,,,,,,,,https://www.youtube.com/watch?v=MTrcNBH7ckA
JungleGapGG,,APuux4lHoZA,In-Depth Low Elo Jungle Coaching (Full Session) - League of Legends,81,,,,,,,,,,https://www.youtube.com/watch?v=APuux4lHoZA
JungleGapGG,,f-8xTKVPIIU,Jungle Fundamentals Guide - Thought Process Explained & How To Climb SoloQ,32,,,,,,,,,,https://www.youtube.com/watch?v=f-8xTKVPIIU
JungleGapGG,,cRB7fpnZxCI,Jungle Fundamentals RAPID FIRE MODE — Challenger Thought Process,36,,,,,,,,,,https://www.youtube.com/watch?v=cRB7fpnZxCI
JungleGapGG,,WuPA-eO44RM,Jungle Is EASY Once You Know These Macro Concepts | Challenger Jungle Coaching,35,,,,,,,,,,https://www.youtube.com/watch?v=WuPA-eO44RM
JungleGapGG,,k7p-L-gE8fM,Jungle Pathing Fundamentals Explained & How To Give Your Game Structure,11,,,,,,,,,,https://www.youtube.com/watch?v=k7p-L-gE8fM
JungleGapGG,,BZFfUsIphDw,Jungle Pathing Fundamentals EXPLAINED | How To Structure Your Full Clears,10,,,,,,,,,,https://www.youtube.com/watch?v=BZFfUsIphDw
JungleGapGG,,E2pHBn5pyh0,KICKSTART YOUR SEASON 15 JUNGLE CLIMB | Patch + Tier List,16,,,,,,,,,,https://www.youtube.com/watch?v=E2pHBn5pyh0
JungleGapGG,,w2ulZ4Bvh2M,KR CHALLENGER ADC MAIN GETS COACHING FOR JUNGLE???,38,,,,,,,,,,https://www.youtube.com/watch?v=w2ulZ4Bvh2M
JungleGapGG,,ReI2LAxafZQ,LEARN HOW TO 1V9 AS GRAVES IN S14... *TARZANED VOD REVIEW*,23,,,,,,,,,,https://www.youtube.com/watch?v=ReI2LAxafZQ
JungleGapGG,,Zz5R3-4bxxs,Learn the CORE Jungle Concepts that separate YOU from HIGH ELO | Low Elo Coaching,27,,,,,,,,,,https://www.youtube.com/watch?v=Zz5R3-4bxxs
JungleGapGG,,gKzkLyilR2g,Learning How To PUNISH The Enemy Jungler | Emerald Coaching (Full Review),28,,,,,,,,,,https://www.youtube.com/watch?v=gKzkLyilR2g
JungleGapGG,,y2CNE_0O-SQ,LIVE COACHING 900LP KINDRED TO SECURE CHALLENGER + REVIEW,29,,,,,,,,,,https://www.youtube.com/watch?v=y2CNE_0O-SQ
JungleGapGG,,BgBlbsLQYg0,Live Coaching Low Elo Student who has 5 Smurf Accounts...(reality check),38,,,,,,,,,,https://www.youtube.com/watch?v=BgBlbsLQYg0
JungleGapGG,,g42Urg8l7EM,Live Coaching MASTER TIER | Applying Fundamentals = Perfect Early Game,7,,,,,,,,,,https://www.youtube.com/watch?v=g42Urg8l7EM
